parcel,elevation,ndvi,lai,diseased
"[[1127, 1790], [1129, 1802], [1197, 1786], [1195, 1774]]",207.31712526910655,-0.355554409911846,0.008463805033533495,2
"[[1195, 1774], [1197, 1786], [1265, 1770], [1263, 1758]]",206.97268568353067,-0.3282365242811825,0.014577915588216514,1
"[[1263, 1758], [1265, 1770], [1342, 1753], [1339, 1741]]",206.88169855038024,-0.3155041213262649,0.01387857019619141,1
"[[1080, 1763], [1083, 1774], [1151, 1758], [1148, 1747]]",207.56949200913243,-0.3540450962611607,0.008102386323058094,2
"[[1148, 1747], [1151, 1758], [1219, 1742], [1216, 1731]]",207.3095212614155,-0.21865136971019303,0.039534033862329857,0
"[[1216, 1731], [1219, 1742], [1287, 1726], [1284, 1715]]",206.99650399543378,-0.2835188174466474,0.028362217648862192,1
"[[1284, 1715], [1287, 1726], [1355, 1711], [1352, 1700]]",206.81973081328752,-0.24989629285088902,0.03133934530578489,0
"[[1353, 1700], [1356, 1711], [1434, 1694], [1431, 1682]]",206.75221928982725,-0.14570048230133498,0.0822709063036858,0
"[[1038, 1735], [1040, 1746], [1108, 1730], [1106, 1719]]",207.74992732558138,-0.41858123069585756,0.0005322047530106296,2
"[[1106, 1719], [1108, 1730], [1176, 1714], [1174, 1703]]",207.66495276162792,-0.22088544522112574,0.03348381017098941,0
"[[1174, 1703], [1176, 1714], [1244, 1698], [1242, 1687]]",207.23181322674418,-0.21234401493673424,0.04601130419100032,0
"[[1242, 1687], [1244, 1698], [1313, 1682], [1311, 1671]]",206.89037413990826,-0.2573269818755857,0.03326615613930333,0
"[[1311, 1671], [1313, 1682], [1381, 1666], [1379, 1655]]",206.7360101744186,-0.18696133629147546,0.06260184542111329,0
"[[1379, 1655], [1381, 1666], [1449, 1650], [1447, 1639]]",206.63415697674418,-0.1501948515201899,0.08224360413070815,0
"[[1447, 1639], [1449, 1650], [1489, 1643], [1486, 1631]]",206.40617587760912,-0.20852548807118637,0.028722025609667877,0
"[[1005, 1704], [1007, 1716], [1075, 1700], [1073, 1688]]",208.0221003767492,-0.2802056792487851,0.01996331493231,1
"[[1073, 1688], [1075, 1700], [1143, 1684], [1141, 1672]]",207.71636167922497,-0.24398238692268231,0.032264592830785796,0
"[[1141, 1672], [1143, 1684], [1211, 1669], [1209, 1657]]",207.42128505933118,-0.2661541476926463,0.025344834485726345,0
"[[1209, 1657], [1211, 1669], [1280, 1653], [1278, 1641]]",207.03199641719746,-0.3330145328602892,0.01332428480808089,1
"[[1278, 1641], [1280, 1653], [1348, 1637], [1346, 1625]]",206.78148546824542,-0.3263320758069823,0.0202128656304433,1
"[[1346, 1625], [1348, 1637], [1416, 1622], [1414, 1610]]",206.76215277777777,-0.1794068242462588,0.06900078460342497,0
"[[1414, 1610], [1416, 1622], [1484, 1606], [1482, 1594]]",206.53770855758881,-0.17263221740722656,0.061513550667590434,0
"[[1483, 1594], [1485, 1606], [1528, 1596], [1525, 1585]]",206.4898037918871,-0.01878684875596692,0.11172224363022415,0
"[[985, 1672], [987, 1683], [1055, 1667], [1053, 1656]]",208.26731468023254,-0.18862143165892126,0.04805910477831467,0
"[[1053, 1656], [1055, 1667], [1123, 1651], [1121, 1640]]",208.07378270348838,-0.13529743029884864,0.06784840949306215,0
"[[1121, 1640], [1123, 1651], [1191, 1635], [1189, 1624]]",207.62325581395348,-0.24067730819969846,0.0311700128317595,0
"[[1189, 1624], [1191, 1635], [1259, 1619], [1257, 1608]]",207.2079941860465,-0.291017263049701,0.025988718203653855,1
"[[1257, 1608], [1259, 1619], [1328, 1604], [1326, 1593]]",206.95910560344828,-0.3032667293921713,0.025094731871564063,1
"[[1326, 1593], [1328, 1604], [1396, 1588], [1394, 1577]]",206.99434956395348,-0.09914184927243239,0.0916619799792775,0
"[[1394, 1577], [1396, 1588], [1464, 1572], [1462, 1561]]",206.74712936046512,-0.11952233537335262,0.0901322000633893,0
"[[1462, 1561], [1464, 1572], [1532, 1556], [1530, 1545]]",206.31729651162792,-0.2347002118547386,0.030776761668592764,0
"[[1530, 1545], [1532, 1556], [1567, 1550], [1564, 1538]]",206.5536537418655,-0.10858752567183687,0.07121972967984214,0
"[[948, 1642], [950, 1653], [1018, 1637], [1016, 1626]]",208.54325944767442,-0.25724855089802534,0.022247887978850394,0
"[[1016, 1626], [1018, 1637], [1086, 1621], [1084, 1610]]",208.15414244186047,-0.26346450876966815,0.030207589033529814,0
"[[1084, 1610], [1086, 1621], [1154, 1605], [1152, 1594]]",207.8184956395349,-0.2814350105917718,0.026611858695912823,1
"[[1152, 1594], [1154, 1605], [1223, 1589], [1221, 1578]]",207.39368907683487,-0.4146843087933231,0.0004051822719338795,2
"[[1221, 1578], [1223, 1589], [1291, 1574], [1289, 1563]]",207.15752476689977,-0.3048076851940377,0.028078789476707822,1
"[[1289, 1563], [1291, 1574], [1359, 1558], [1357, 1547]]",207.08488372093024,-0.21701425020811987,0.03885550687310818,0
