parcel,elevation,ndvi,lai,diseased
"[[454; 716], [455; 719], [480; 713], [479; 710]]",207.3000177556818,-0.315825401096169,0.0146576304123367,1
"[[479; 710], [480; 713], [505; 707], [504; 704]]",206.98851207386363,-0.2795085040005771,0.0197262408518886,0
"[[504; 704], [505; 707], [532; 702], [531; 698]]",206.9617217092803,-0.2724382227117365,0.0174693935795432,0
"[[434; 705], [435; 709], [460; 703], [459; 699]]",207.5605896441606,-0.3333585697368983,0.0156900398372921,1
"[[459; 699], [460; 703], [485; 697], [484; 693]]",207.31948562956205,-0.2232450359929217,0.0382806729814598,0
"[[484; 693], [485; 697], [511; 691], [510; 687]]",207.0436014524648,-0.2492966987717319,0.0353193973525342,0
"[[510; 687], [511; 691], [536; 685], [535; 681]]",206.86074361313868,-0.2434922656873717,0.039909905230482,0
"[[535; 681], [536; 685], [569; 678], [568; 674]]",206.76924596207863,-0.1523994965986772,0.0772580142712117,0
"[[416; 694], [417; 697], [442; 691], [441; 688]]",207.75023082386363,-0.407535830411044,0.0034485994964965,2
"[[441; 688], [442; 691], [467; 685], [466; 682]]",207.6843394886364,-0.2220846176147461,0.0402094348556382,0
"[[466; 682], [467; 685], [493; 679], [492; 676]]",207.32015830592104,-0.2066465225894894,0.0546884196299415,0
"[[492; 676], [493; 679], [518; 673], [517; 670]]",206.9770241477273,-0.2391497525301846,0.0423852322341971,0
"[[517; 670], [518; 673], [544; 667], [543; 664]]",206.79877672697367,-0.1798381130252264,0.0655762836217705,0
"[[543; 664], [544; 667], [569; 661], [568; 658]]",206.62963423295452,-0.1624932770335346,0.0905207555329232,0
"[[568; 658], [569; 661], [593; 657], [592; 653]]",206.53033088235293,-0.1492258600828026,0.0632943562768267,0
"[[403; 682], [404; 686], [429; 680], [428; 676]]",208.02580406021897,-0.2777461164137896,0.025237081226338,0
"[[428; 676], [429; 680], [454; 674], [453; 670]]",207.7472057481752,-0.2181689598981072,0.0394653491386858,0
"[[453; 670], [454; 674], [480; 668], [479; 664]]",207.4654214348592,-0.2281042824328785,0.0332959336851552,0
"[[479; 664], [480; 668], [505; 662], [504; 658]]",207.11236884124088,-0.3167534709846886,0.016420676392496,1
"[[504; 658], [505; 662], [530; 656], [529; 652]]",206.87548471715328,-0.3061224387509979,0.0286008207431359,1
"[[529; 652], [530; 656], [556; 651], [555; 647]]",206.69700243794327,-0.2619532862453596,0.0417840328734382,0
"[[555; 647], [556; 651], [581; 645], [580; 641]]",206.66397696167883,-0.1713111540850471,0.071670611673325,0
"[[580; 641], [581; 645], [609; 639], [608; 635]]",206.54364977384867,-0.0499442545572916,0.1132299019078396,0
"[[394; 669], [395; 673], [420; 667], [419; 663]]",208.2623888001825,-0.1943509874552705,0.0611537633517135,0
"[[419; 663], [420; 667], [445; 661], [444; 657]]",208.09948106751824,-0.1269846449803262,0.0792597920690716,0
"[[444; 657], [445; 661], [471; 655], [470; 651]]",207.690058318662,-0.2427972605530644,0.0344207306214804,0
"[[470; 651], [471; 655], [496; 649], [495; 645]]",207.2687186359489,-0.2977918360355127,0.0287758237849906,1
"[[495; 645], [496; 649], [521; 643], [520; 639]]",206.99875969434308,-0.3292952488808736,0.0227871915733397,1
"[[520; 639], [521; 643], [547; 637], [546; 633]]",206.9480771346831,-0.1892351231104891,0.0588851754489037,0
"[[546; 633], [547; 637], [572; 632], [571; 628]]",206.87599092371323,-0.1197600364685058,0.0863943881966361,0
"[[571; 628], [572; 632], [597; 626], [596; 622]]",206.57379105839416,-0.1264549704159007,0.087031765078354,0
"[[596; 622], [597; 626], [625; 620], [624; 616]]",206.35986328125,-0.1921845492937706,0.0445746085047943,0
"[[380; 657], [381; 660], [406; 654], [405; 651]]",208.6134055397727,-0.2055542859164151,0.0288875171571938,0
"[[405; 651], [406; 654], [431; 648], [430; 645]]",208.1863991477273,-0.2527271760713069,0.0406559739447719,0
"[[430; 645], [431; 648], [457; 642], [456; 639]]",207.90417694627192,-0.2411810389736242,0.0488445528159792,0
"[[456; 639], [457; 642], [482; 636], [481; 633]]",207.4708451704545,-0.3849778608842329,0.0052738534732542,2
"[[481; 633], [482; 636], [507; 630], [506; 627]]",207.22210582386364,-0.3508286216042258,0.0131119789588902,2
