row_images,drone_gps,drone_pixels,parcels_indexes,parcels
/run/media/noumena/nmn_dufry/ICAERUS/01-MEDIA/RAW_IMAGES/ROWS/230609_D/DJI_20230609124637_0016_D.JPG,[     41.289      1.7119],[  68 1401],286,"[[  41 1361]
 [  43 1372]
 [  69 1366]
 [  67 1355]]"
/run/media/noumena/nmn_dufry/ICAERUS/01-MEDIA/RAW_IMAGES/ROWS/230609_D/DJI_20230609124657_0022_D.JPG,[     41.289      1.7119],[  89 1399],287,"[[  67 1355]
 [  69 1366]
 [  95 1360]
 [  93 1349]]"
/run/media/noumena/nmn_dufry/ICAERUS/01-MEDIA/RAW_IMAGES/ROWS/230609_D/DJI_20230609124659_0023_D.JPG,[     41.289       1.712],[ 119 1394],288,"[[  93 1349]
 [  95 1360]
 [ 122 1354]
 [ 120 1343]]"
/run/media/noumena/nmn_dufry/ICAERUS/01-MEDIA/RAW_IMAGES/ROWS/230609_D/DJI_20230609124701_0024_D.JPG,[     41.289       1.712],[ 146 1387],289,"[[ 120 1343]
 [ 122 1354]
 [ 148 1348]
 [ 146 1337]]"
/run/media/noumena/nmn_dufry/ICAERUS/01-MEDIA/RAW_IMAGES/ROWS/230609_D/DJI_20230609124703_0025_D.JPG,[     41.289       1.712],[ 156 1387],290,"[[ 146 1337]
 [ 148 1348]
 [ 174 1342]
 [ 172 1331]]"
/run/media/noumena/nmn_dufry/ICAERUS/01-MEDIA/RAW_IMAGES/ROWS/230609_D/DJI_20230609124706_0026_D.JPG,[     41.289       1.712],[ 188 1381],291,"[[ 172 1331]
 [ 174 1342]
 [ 201 1336]
 [ 199 1325]]"
/run/media/noumena/nmn_dufry/ICAERUS/01-MEDIA/RAW_IMAGES/ROWS/230609_D/DJI_20230609124710_0028_D.JPG,[     41.289       1.712],[ 221 1377],292,"[[ 199 1325]
 [ 201 1336]
 [ 227 1330]
 [ 225 1319]]"
/run/media/noumena/nmn_dufry/ICAERUS/01-MEDIA/RAW_IMAGES/ROWS/230609_D/DJI_20230609124722_0034_D.JPG,[     41.289       1.712],[ 235 1354],293,"[[ 225 1319]
 [ 227 1330]
 [ 253 1324]
 [ 251 1313]]"
/run/media/noumena/nmn_dufry/ICAERUS/01-MEDIA/RAW_IMAGES/ROWS/230609_D/DJI_20230609124740_0038_D.JPG,[     41.289       1.712],[ 281 1348],294,"[[ 251 1313]
 [ 253 1324]
 [ 280 1318]
 [ 278 1307]]"
/run/media/noumena/nmn_dufry/ICAERUS/01-MEDIA/RAW_IMAGES/ROWS/230609_D/DJI_20230609124742_0039_D.JPG,[     41.289       1.712],[ 289 1348],295,"[[ 278 1307]
 [ 280 1318]
 [ 306 1312]
 [ 304 1301]]"
/run/media/noumena/nmn_dufry/ICAERUS/01-MEDIA/RAW_IMAGES/ROWS/230609_D/DJI_20230609124746_0041_D.JPG,[     41.289      1.7121],[ 357 1346],297,"[[ 330 1295]
 [ 332 1306]
 [ 359 1300]
 [ 357 1289]]"
/run/media/noumena/nmn_dufry/ICAERUS/01-MEDIA/RAW_IMAGES/ROWS/230609_D/DJI_20230609124748_0042_D.JPG,[     41.289      1.7121],[ 370 1344],298,"[[ 357 1289]
 [ 359 1300]
 [ 385 1294]
 [ 383 1283]]"
/run/media/noumena/nmn_dufry/ICAERUS/01-MEDIA/RAW_IMAGES/ROWS/230609_D/DJI_20230609124753_0044_D.JPG,[     41.289      1.7121],[ 412 1337],299,"[[ 383 1283]
 [ 385 1294]
 [ 411 1288]
 [ 409 1277]]"
/run/media/noumena/nmn_dufry/ICAERUS/01-MEDIA/RAW_IMAGES/ROWS/230609_D/DJI_20230609124755_0045_D.JPG,[     41.289      1.7121],[ 451 1331],301,"[[ 436 1270]
 [ 438 1281]
 [ 464 1275]
 [ 462 1264]]"
